爱情,ài qíng [ái tình],tình yêu,他们的爱情很美好。,Tāmen de àiqíng hěn měihǎo.,Tình yêu của họ rất đẹp.
安排,ān pái [an bài],sắp xếp,我已经安排好了行程。,Wǒ yǐjīng ānpái hǎo le xíngchéng.,Tôi đã sắp xếp xong hành trình.
安全,ān quán [an toàn],an toàn,这个地方很安全。,Zhège dìfāng hěn ānquán.,Nơi này rất an toàn.
按时,àn shí,đúng hạn,我们必须按时完成任务。,Wǒmen bìxū ànshí wánchéng rènwù.,Chúng ta phải hoàn thành nhiệm vụ đúng giờ.
按照,àn zhào,"dựa vào, theo",请按照说明操作。,Qǐng ànzhào shuōmíng cāozuò.,Vui lòng làm theo hướng dẫn.
百分之,bǎi fēn zhī,%,他的考试成绩是百分之九十。,Tā de kǎoshì chéngjī shì bǎifēn zhī jiǔshí.,Điểm thi của anh ấy là 90%.
棒,bàng,"cây gậy/ giỏi, tốt",你真棒！,Nǐ zhēn bàng!,Bạn thật tuyệt!
包子,bāo zi,bánh bao,我喜欢吃包子。,Wǒ xǐhuān chī bāozi.,Tôi thích ăn bánh bao.
保护,bǎo hù,"che chở, bảo vệ",我们要保护环境。,Wǒmen yào bǎohù huánjìng.,Chúng ta cần bảo vệ môi trường.
保证,bǎo zhèng,"đảm bảo, cam đoan",我保证完成任务。,Wǒ bǎozhèng wánchéng rènwù.,Tôi cam đoan hoàn thành nhiệm vụ.
报名,bào míng,đăng kí,我报名参加了比赛。,Wǒ bàomíng cānjiā le bǐsài.,Tôi đã đăng ký tham gia cuộc thi.
抱,bào,ôm,他抱了我。,Tā bào le wǒ.,Anh ấy đã ôm tôi.
抱歉,bào qiàn,xin lỗi,很抱歉，我来晚了。,"Hěn bàoqiàn, wǒ lái wǎn le.","Xin lỗi, tôi đến muộn."
倍,bèi,lần,价格翻了两倍。,Jiàgé fān le liǎng bèi.,Giá cả tăng gấp đôi.
本来,běn lái,vốn có,本来我不想去的。,Běnlái wǒ bù xiǎng qù de.,Ban đầu tôi không muốn đi.
笨,bèn,ngốc nghếch,他有点笨，但很努力。,"Tā yǒudiǎn bèn, dàn hěn nǔlì.","Anh ấy hơi ngốc, nhưng rất nỗ lực."
