爱,ài,yêu,我爱你。,Wǒ ài nǐ.,Tôi yêu bạn.
八,bā,tám,他有八个苹果。,Tā yǒu bā ge píngguǒ.,Anh ấy có tám quả táo.
爸爸,bàba,bố,我的爸爸很高。,Wǒ de bàba hěn gāo.,Bố của tôi rất cao.
杯子,bēizi,cốc,这是我的杯子。,Zhè shì wǒ de bēizi.,Đây là cốc của tôi.
北京,Běijīng,Bắc Kinh,北京很大。,Běijīng hěn dà.,Bắc Kinh thì lớn.
本,běn,cuốn (dùng cho sách),这本书很有趣。,Zhè běn shū hěn yǒuqù.,Quyển sách này rất thú vị.
不客气,bú kèqì,không có gì (đáp lại lời cảm ơn),不客气。,bú kèqì.,Không có gì.
不,bù,không,他不喜欢吃鱼。,Tā bù xǐhuān chī yú.,Anh ấy không thích ăn cá.
菜,cài,"món ăn, rau củ",我喜欢吃菜。,Wǒ xǐhuān chī cài.,Tôi thích ăn rau.
茶,chá,trà,我喝茶。,Wǒ hē chá.,Tôi uống trà.
吃,chī,ăn,我吃苹果。,Wǒ chī píngguǒ.,Tôi ăn táo.
出租车,chūzūchē,taxi,我坐出租车。,Wǒ zuò chūzūchē.,Tôi đi taxi.
打电话,dǎ diànhuà,gọi điện thoại,她给我打电话。,Tā gěi wǒ dǎ diànhuà.,Cô ấy gọi điện cho tôi.
大,dà,"lớn, to",这件衣服很大。,Zhè jiàn yīfú hěn dà.,Cái áo này rất to.
的,de,của (thuộc tính),这是我的书。,Zhè shì wǒ de shū.,Đây là sách của tôi.
点,diǎn,giờ (trong thời gian),现在是三点。,Xiànzài shì sān diǎn?,Bây giờ là mấy giờ?
电脑,diànnǎo,máy tính,我用电脑。,Wǒ yòng diànnǎo.,Tôi dùng máy tính.
电视,diànshì,ti vi,电视很大。,Diànshì hěn dà.,Tivi thì lớn.
电影,diànyǐng,phim,我喜欢看电影。,Wǒ xǐhuān kàn diànyǐng.,Tôi thích xem phim.
东西,dōngxī,"đồ vật, thứ",这是什么东西？,Zhè shì shénme dōngxī?,Đây là cái gì?
都,dōu,đều,我们都去学校。,Wǒmen dōu qù xuéxiào.,Chúng tôi đều đi đến trường.
读,dú,đọc,她读书很快。,Tā dúshū hěn kuài.,Cô ấy đọc sách rất nhanh.
对不起,duìbùqǐ,xin lỗi,对不起，我迟到了。,"Duìbuqǐ, wǒ chídào le.","Xin lỗi, tôi đến muộn."
多,duō,nhiều,我有很多书。,Wǒ yǒu hěn duō shū.,Tôi có nhiều sách.
多少,duōshǎo,bao nhiêu,这本书多少钱？,Zhè běn shū duōshǎo qián?,Quyển sách này bao nhiêu tiền?
儿子,érzi,con trai,我的儿子很聪明。,Wǒ de érzi hěn cōngmíng.,Con trai của tôi rất thông minh.
二,èr,hai,我喜欢“二”数字。,"Wǒ xǐhuān ""èr"" shùzi",Tôi thích số 2.
饭馆,fànguǎn,nhà hàng,我们去饭馆吃饭。,Wǒmen qù fànguǎn chīfàn.,Chúng tôi đi nhà hàng ăn cơm.
飞机,fēijī,máy bay,飞机很快。,Fēijī hěn kuài.,Máy bay thì nhanh.
分钟,fēnzhōng,phút,他等了五分钟。,Tā děngle wǔ fēnzhōng.,Anh ấy đợi năm phút.
高兴,gāoxìng,vui,我很高兴。,Wǒ hěn gāoxìng.,Tôi rất vui.
个,gè,cái (đơn vị lượng từ),我有一个钱包。,Wǒ yǒu yī ge qiánbāo.,Tôi có một cái ví tiền.
工作,gōngzuò,công việc,我的工作很忙。,Wǒ de gōngzuò hěn máng.,Công việc của tôi rất bận.
狗,gǒu,chó,这只狗很可爱。,Zhè zhī gǒu hěn kě'ài.,Con chó này rất dễ thương.
汉语,Hànyǔ,tiếng Hán,我在学汉语。,Wǒ zài xué Hànyǔ.,Tôi đang học tiếng Trung.
好,hǎo,"tốt, khỏe",他很好。,Tā hěn hǎo.,Anh ấy rất tốt.
喝,hē,uống,我喝水。,Wǒ hē shuǐ.,Tôi uống nước.
和,hé,và,我和你一起去。,Wǒ hé nǐ yīqǐ qù.,Tôi và bạn cùng đi.
很,hěn,rất,这个苹果很甜。,Zhège píngguǒ hěn tián.,Cái táo này rất ngọt.
后面,hòumiàn,phía sau,我家在后面。,Wǒ jiā zài hòumiàn.,Nhà tôi ở phía sau.
回,huí,"quay lại, về",我回家了。,Wǒ huí jiā le.,Tôi đã về nhà.
会,huì,"sẽ, biết (kỹ năng)",我会说汉语。,Wǒ huì shuō Hànyǔ.,Tôi biết nói tiếng Trung.
火车站,huǒchēzhàn,ga tàu,火车站在前面。,Huǒchēzhàn zài qiánmiàn.,Ga tàu ở phía trước.
几,jǐ,mấy,你有几个苹果？,Nǐ yǒu jǐ ge píngguǒ?,Bạn có mấy quả táo?
家,jiā,"gia đình, nhà",我家有四口人。,Wǒ jiā yǒu sì kǒu rén.,Nhà tôi có bốn người.
叫,jiào,"gọi, tên gọi",她叫李娜。,Tā jiào Lǐ Nà.,Cô ấy tên là Lý Na.
今天,jīntiān,hôm nay,今天是星期一。,Jīntiān shì xīngqī yī.,Hôm nay là thứ Hai.
九,jiǔ,chín,我有九本书。,Wǒ yǒu jiǔ běn shū.,Tôi có chín quyển sách.
开,kāi,"mở, khởi động",我们开车去。,Wǒmen kāichē qù.,Chúng tôi đi bằng ô tô.
看,kàn,xem,我喜欢看电影。,Wǒ xǐhuān kàn diànyǐng.,Tôi thích xem phim.
看见,kànjiàn,nhìn thấy,我看见你了。,Wǒ kànjiàn nǐ le.,Tôi đã thấy bạn.
块,kuài,"miếng, đồng (tiền)",这个苹果两块钱。,Zhège píngguǒ liǎng kuài qián.,Cái táo này hai tệ.
来,lái,đến,明天我来。,Míngtiān wǒ lái.,Ngày mai tôi đến.
老师,lǎoshī,giáo viên,我的老师很友好。,Wǒ de lǎoshī hěn yǒuhǎo.,Giáo viên của tôi rất thân thiện.
了,le,đã (dùng để chỉ sự thay đổi),她去了学校。,Tā qùle xuéxiào.,Cô ấy đã đi đến trường.
冷,lěng,lạnh,外面很冷。,Wàimiàn hěn lěng.,Bên ngoài rất lạnh.
里,lǐ,trong,我的书在里面。,Wǒ de shū zài lǐmiàn.,Sách của tôi ở bên trong.
零,líng,không (số 0),今天零度。,Jīntiān líng dù.,Hôm nay không độ.
六,liù,sáu,我有六个苹果。,Wǒ yǒu liù ge píngguǒ.,Tôi có sáu quả táo.
妈妈,māma,mẹ,我的妈妈很漂亮。,Wǒ de māmā hěn piàoliang.,Mẹ của tôi rất xinh đẹp.
吗,ma,không (dùng trong câu hỏi),你好吗？,Nǐ hǎo ma?,Bạn khỏe không?
买,mǎi,mua,我买了水果。,Wǒ mǎile shuǐguǒ.,Tôi đã mua trái cây.
猫,māo,mèo,这只猫很可爱。,Zhè zhī māo hěn kě'ài.,Con mèo này rất dễ thương.
没,méi,"không có, chưa",我没看见他。,Wǒ méi kànjiàn tā.,Tôi không nhìn thấy anh ấy.
没关系,méi guānxi,"không sao, không có gì",下雨了，没关系，我们有伞。,"Xiàyǔ le, méi guānxì, wǒmen yǒu sǎn.","Trời mưa rồi, không sao đâu, chúng ta có ô."
米饭,mǐfàn,cơm,我们吃米饭。,Wǒmen chī mǐfàn.,Chúng tôi ăn cơm.
明天,míngtiān,ngày mai,明天见。,Míngtiān jiàn.,Ngày mai gặp.
名字,míngzi,tên,你叫什么名字？,Nǐ jiào shénme míngzì?,Bạn tên là gì?
哪里 (哪儿),nǎlǐ (nǎr),"đâu, chỗ nào",你要去哪儿？,Nǐ yào qù nǎr？,Bạn muốn đi đâu?
那,nà,"đó, kia",那个书包很漂亮。,Nàge shūbāo hěn piàoliang.,Cái cặp sách đó rất đẹp.
呢,ne,thì sao? (dùng để hỏi thêm),你呢？,Nǐ ne?,Còn bạn thì sao?
能,néng,có thể,他能说三种语言。,Tā néng shuō sān zhǒng yǔyán.,Anh ấy có thể nói ba ngôn ngữ.
你,nǐ,bạn,你叫什么名字？,Nǐ jiào shénme míngzi?,Bạn tên là gì?
年,nián,năm,我结婚三年了。,Wǒ jiéhūn sān nián le.,Tôi kết hôn 3 năm rồi.
